3.906249891519998109e-03 3.830217557853038413e-03 3.830217557853044918e-03 3.830217557853034943e-03 1.026617651353757540e-30 1.087120618246758186e-30 1.034519563509211786e-30 5.062222867203253986e-30 2.832117522871586692e-35 5.785979239497779697e-34 3.183217461421103391e-18 1.495806255738513668e-19 1.495806147645941095e-19 1.495806128493148707e-19
3.906249891520002446e-03 3.830217470681619892e-03 3.830217470681621626e-03 3.830217470681618157e-03 6.014322739588221370e-18 8.425622764063464138e-18 7.489460422925839893e-18 6.392118508597514094e-19 2.776276470880072707e-20 4.978228626318865735e-20 2.614072007183895122e-18 1.660964504179571418e-19 1.657155240662529371e-19 1.657236508804643374e-19
3.906249891520003747e-03 3.830217470681616422e-03 3.830217470681620325e-03 3.830217470681619458e-03 4.424481590850980771e-18 9.571404739454955929e-18 7.457706572904995579e-18 5.996272020054950613e-19 1.358772841664912564e-19 2.436416728669167517e-19 2.613419389603889845e-18 1.677875493649375397e-19 1.596317352959253775e-19 1.598769774536835140e-19
3.906249891520002446e-03 3.830217470681621193e-03 3.830217470681618157e-03 3.830217470681615121e-03 1.030255932540443099e-17 4.525680360220583733e-18 6.456582688687815621e-18 1.343031843262648729e-18 5.520484416544170058e-19 9.898945214967383632e-19 2.296453198220384067e-18 1.776599013087300644e-19 1.547906626441098270e-19 1.548737944112019973e-19
3.906249891519992905e-03 3.830217470681582161e-03 3.830217470681508436e-03 3.830217470681511038e-03 8.629046424163895516e-17 2.899169282710174844e-17 1.981689953177201461e-17 8.878157274712511015e-17 2.145577018285382429e-17 3.847308294757269525e-17 2.544840908395174961e-18 1.766694674257806154e-19 1.603916808200517563e-19 1.597560404326882297e-19
3.906249891519939996e-03 3.830217470681016641e-03 3.830217470680412958e-03 3.830217470680516607e-03 6.884158781437534965e-16 4.832428123983337026e-16 1.845057921339066467e-16 1.018316506739886356e-15 2.144605617999423357e-16 3.845567215123072751e-16 2.546796972581195706e-18 1.742180003888790848e-19 1.592485450524691193e-19 1.691357459019700863e-19
3.906249891519722288e-03 3.830217470677581022e-03 3.830217470674266399e-03 3.830217470674971130e-03 3.959071974813078125e-15 3.362038321966163631e-15 1.127512834368261783e-15 6.410454452385643818e-15 1.209108247809790567e-15 2.168093467497481424e-15 2.040879945609604631e-18 2.186024652807002723e-19 1.276751145115671748e-19 1.769358072426243328e-19
3.906249891519085644e-03 3.830217470663048809e-03 3.830217470649564370e-03 3.830217470652636132e-03 1.730748207443192921e-14 1.567054107028536869e-14 4.953398127209578815e-15 2.870799923484301945e-14 4.862215239658034734e-15 8.718599799871451318e-15 1.848744466501009982e-18 3.656959125944818470e-19 7.964084686653741683e-20 1.973678957356601791e-19
3.906249891517520490e-03 3.830217470614941892e-03 3.830217470571134920e-03 3.830217470581388003e-03 6.096940322250084810e-14 5.658457796632296599e-14 1.728129328683324946e-14 1.012947922633710442e-13 1.535705076456379818e-14 2.753722906750703600e-14 1.505082327375935521e-18 6.808845000216640459e-19 6.004204832230065334e-20 2.576675976574630876e-19
3.906249891514311685e-03 3.830217470484073052e-03 3.830217470366195989e-03 3.830217470394122435e-03 1.792216917087740522e-13 1.681165668779149653e-13 5.017792482105870044e-14 2.954777581962010731e-13 3.982715587484114002e-14 7.141535766385901262e-14 9.659479987082297371e-19 1.210320181687605144e-18 1.185064049487106580e-19 3.968465025598463242e-19
3.906249891509035090e-03 3.830217470186803464e-03 3.830217469919889803e-03 3.830217469983528567e-03 4.474287373451525074e-13 4.217787864137426259e-13 1.236701466325152660e-13 7.283125328923578173e-13 8.624100654268524994e-14 1.546415097507645630e-13 1.098845890770404572e-18 1.967552314708025629e-18 2.921026611427580720e-19 6.625509819026775355e-19
3.906249891502852969e-03 3.830217469627714231e-03 3.830217469119549540e-03 3.830217469241115925e-03 9.517872909978184180e-13 8.992734545237610409e-13 2.595540313076717597e-13 1.523949980866666383e-12 1.553311896435922955e-13 2.785292865381205354e-13 2.131121074024223591e-18 2.874831700300323349e-18 5.651307375822685421e-19 1.103808584356856253e-18
3.906249891499900036e-03 3.830217468793809671e-03 3.830217467994628637e-03 3.830217468186165528e-03 1.704378288598973537e-12 1.612119641815939240e-12 4.583049069476938088e-13 2.676247388334244907e-12 2.269246114344776674e-13 4.069055626841189670e-13 4.343846646423258645e-18 3.509024732182588283e-18 8.130241687480819518e-19 1.745659793564922345e-18
3.906249891505106809e-03 3.830217467932777071e-03 3.830217466925852493e-03 3.830217467167423579e-03 2.482157347944923570e-12 2.348796683223334016e-12 6.582788767703256007e-13 3.822137789522408578e-12 2.575064347850818992e-13 4.617422836897708461e-13 6.283030145273087906e-18 3.135889814555357899e-18 1.117798684339628021e-18 2.564393029786054994e-18
3.906249891510572923e-03 3.830217467661496244e-03 3.830217466608422817e-03 3.830217466861255294e-03 2.726774456186846345e-12 2.580835678233808144e-12 7.186683459235088040e-13 4.211744184562223604e-12 2.446831494185011921e-13 4.387473431001583027e-13 8.087583002888286932e-18 2.621352229996255427e-18 3.269691221095056040e-18 3.565546555331642633e-18
3.906249891458074119e-03 3.830217468423969228e-03 3.830217466813977574e-03 3.830217467201063770e-03 2.027803472035662858e-12 1.922238949892289912e-12 5.707469895385825244e-13 3.808399309053492823e-12 4.711530566313830861e-13 8.448361591051695515e-13 2.043910391486563701e-17 9.797386707172383883e-18 1.407541894803117150e-17 5.063399284538335263e-18
3.906249891169105617e-03 3.830217468016640543e-03 3.830217462100739961e-03 3.830217463523997307e-03 2.345192270157084632e-12 2.237524509896227002e-12 8.454430476383960432e-13 7.420561886903698418e-12 2.068719500013563468e-12 3.709482382799170371e-12 8.603358290882489425e-17 4.880505087263444104e-17 5.043559551479245605e-17 8.858297354743737157e-18
3.906249890259878496e-03 3.830217455311153707e-03 3.830217432214134184e-03 3.830217437770924889e-03 1.366002277595105311e-11 1.299887649212768620e-11 4.407658193628686157e-12 3.436336265273520095e-11 7.925316095227367562e-12 1.421113438376208992e-11 3.243628797802117489e-16 1.706412784514637152e-16 1.443437830596196557e-16 2.130754682018690528e-17
3.906249888118600022e-03 3.830217398981973238e-03 3.830217326747706059e-03 3.830217344125935990e-03 6.414351158852051237e-11 6.091906785994712921e-11 1.902984627370722375e-11 1.345927748484687609e-10 2.353833520440292297e-11 4.220734477963208713e-11 9.733970347102813089e-16 4.529115540730114371e-16 3.400012898685880176e-16 5.853684449147195934e-17
3.906249884098789930e-03 3.830217233861332553e-03 3.830217050003807428e-03 3.830217094235572380e-03 2.125054833776057345e-10 2.016385192821521786e-10 6.049084955126420039e-11 4.059941358359389828e-10 5.666376908198122349e-11 1.016056294302742570e-10 2.420510477155794619e-15 9.623273055285901454e-16 6.676691325525513682e-16 1.523562805222631721e-16
3.906249878088317428e-03 3.830216855833920662e-03 3.830216463455084208e-03 3.830216557850410399e-03 5.527006333572783434e-10 5.241544037909956834e-10 1.534245275655090643e-10 9.954255777498701090e-10 1.139473821547856736e-10 2.043227036042922097e-10 5.090327766301566489e-15 1.657427547813939269e-15 1.085580421503769162e-15 3.526637539644699415e-16
3.906249871403594340e-03 3.830216146688632597e-03 3.830215433976581763e-03 3.830215605431764279e-03 1.191665865728125493e-09 1.129686910300134980e-09 3.248998264586544601e-10 2.053367878706959104e-09 1.933550161758538261e-10 3.467110043795573254e-10 9.105744235608204219e-15 2.278929738202627546e-15 1.421491713982770210e-15 7.174717166870157159e-16
3.906249867398788305e-03 3.830215052896888354e-03 3.830213949325667836e-03 3.830214214798129124e-03 2.178349026372734898e-09 2.064416803745489949e-09 5.854578812363046906e-10 3.615589830116175231e-09 2.749256518199330670e-10 4.929776985519101971e-10 1.397533296964121984e-14 2.394108258084600840e-15 1.425831471148625920e-15 1.280091673778295213e-15
